ID	B_IN	B_Mem	Plasma	CD4_ET	CD4_NC	CD4_SOX4	CD8_ET	CD8_NC	CD8_S100B	DC1	Mono_C	Mono_NC	NK	NK_R
ENSGEXAMPLE012-rs000012	-0.094613828	0.0557421436	-0.262793404	0.2198594417	-0.1132835472	-0.2346683674	0.3377252689	-0.283046752	-0.1374386003	0.1005798951	-0.2340993097	0.0895177253	-0.269249541	0.2617955566
ENSGEXAMPLE013-rs000013	-0.330539811	-0.0146245922	0.262455501	0.3566826906	-0.1906041787	-0.089434963	-0.0111288152	0.100121038	-0.0113983738	-0.2797964086	-0.5123543424	-0.0084755225	0.3070276694	0.182541468
ENSGEXAMPLE014-rs000014	0.069804	0.0403543437	-0.042503368	-0.0775693557	0.223990609	0.1908671876	0.2226912686	-0.12943311	0.3021039799	-0.2030037714	0.3999517417	0.0280414342	0.6132180169	-0.2116164819
ENSGEXAMPLE015-rs000015	-0.064759968	0.1949610165	0.192696484	0.518045636	-0.2773041193	-0.095608786	0.2651976343	0.043789703	0.027090117	0.0291844132	0.2358990654	0.5041203687	-0.3680074583	-0.6219718884
ENSGEXAMPLE016-rs000016	-0.026653703	0.174872658	0.028772031	0.1599819778	-0.3040029809	0.3626346473	-0.0896315375	0.209355745	-0.1084027433	0.0753479202	-0.1548802769	-0.2304722048	-0.2726861177	0.2021717093
ENSGEXAMPLE017-rs000017	0.574111799	0.0050854909	-0.213011574	-0.0323648173	0.3270598868	0.1380444754	0.2330912726	0.351882895	0.1642250176	-0.0708585613	0.0065461943	-0.2251038783	0.1645260369	0.3668176997
ENSGEXAMPLE018-rs000018	0.483136492	-0.0175145905	-0.06098921	0.2582042974	-0.3091854684	-0.2457395358	-0.1647102468	-0.236724504	-0.0313640412	0.3090232613	-0.2215868215	0.0331546476	0.093768541	-0.213510632
ENSGEXAMPLE019-rs000019	0.106104573	0.024238233	0.362231574	-0.0216435632	-0.1289430922	-0.2363584794	0.0602375101	-0.217421793	0.1911532268	-0.0005129649	-0.0849606379	0.1072769907	0.0801065998	-0.176697256
ENSGEXAMPLE020-rs000020	-0.178039339	0.0611178042	0.001994886	-0.2212406412	0.2711254262	0.2181981418	0.0101320133	0.249935616	-0.1923312417	-0.1528691782	0.0741767786	-0.0127558096	0.3589463429	0.2785651362
ENSGEXAMPLE021-rs000021	-0.233613661	0.1270391833	-0.331767353	-0.1570177022	0.6012321561	-0.1460699973	0.1289757786	0.015846365	-0.2090443939	0.1349030744	0.1328141975	0.0268377096	-0.1919674892	0.0340237783
ENSGEXAMPLE022-rs000022	0.065920076	0.344895373	-0.075163004	-0.5615135903	0.0742630909	-0.0765197517	-0.1389646906	0.060695561	-0.0966511796	-0.1919786003	-0.3484004381	0.1782160745	0.1839907151	0.0504873641
ENSGEXAMPLE023-rs000023	-0.077464479	-0.0061482911	-0.537844334	-0.3578494576	-0.5356658741	-0.0806650694	0.2712588504	-0.292719273	0.1556180186	0.3333395223	0.5099798432	0.0291464396	-0.1155834461	0.059259647
ENSGEXAMPLE024-rs000024	0.283154859	0.5301561668	-0.25869315	0.2452764717	0.0905925678	0.1419866264	0.4718876397	0.031621435	0.2813737474	0.1421117178	0.2324405554	0.144291564	0.1882534098	0.1573101757
ENSGEXAMPLE025-rs000025	-0.538478946	0.1601546606	0.006348375	0.4280709756	-0.2037502136	-0.1750912899	0.0934338568	0.096105044	0.1104201285	-0.0205625715	-0.2531913778	-0.338387203	0.1825717056	0.0656189567
ENSGEXAMPLE026-rs000026	0.075243597	-0.0587422327	-0.119521222	-0.1069333758	0.0632069867	0.2969535445	-0.031846731	-0.203328854	-0.0738015022	0.0139795971	0.0933075076	0.4957828194	0.1709894778	0.4639340029
ENSGEXAMPLE027-rs000027	0.108110571	0.2140281678	-0.053090564	0.1091938823	0.0626437874	0.1580776755	-0.0370461752	0.131104526	-0.1443016156	-0.1016820939	-0.496792037	-0.0409412594	0.1543460578	0.1777092982
ENSGEXAMPLE028-rs000028	-0.32154971	0.2845836105	0.19173973	-0.0113893795	-0.0917524297	0.1521286539	0.0391028097	0.088666067	-0.095803058	-0.0341234938	-0.2399505153	0.015688619	0.360246071	0.272607267
ENSGEXAMPLE029-rs000029	0.336037303	0.0707146628	-0.40774355	0.1845318128	0.0959683972	0.020704319	0.0776484486	0.177937684	0.3549901111	0.2608015231	0.2978243511	0.2110507832	0.2000645689	-0.1151346642
ENSGEXAMPLE030-rs000030	-0.27710295	0.4312617122	0.232071556	-0.0445571034	0.1226940742	-0.023169785	-0.3759331914	0.216069903	0.1945518299	-0.7910409505	0.1461946324	0.1057859371	0.6450379253	0.2425712222
ENSGEXAMPLE031-rs000031	0.231999436	0.1134463891	0.376017604	0.0747501083	-0.0019075352	0.0901492604	0.4226537471	-0.218163388	-0.0887017877	-0.5745065483	-0.4618474667	0.0255976656	-0.098629028	-0.1712520803
ENSGEXAMPLE032-rs000032	0.353535983	0.0530872751	-0.249512037	0.6476475088	-0.2515200508	-0.3042393125	0.0666282547	0.524058286	-0.0910394602	0.2995489169	-0.1172547947	0.0770642716	-0.1729582463	-0.4074647895
ENSGEXAMPLE033-rs000033	-0.491989162	0.3315056498	-0.164009974	-0.1171224804	0.0633973516	0.3357691214	0.1266241855	0.08163169	-0.2921858627	0.064518011	0.2474316269	0.3199343715	-0.2675334314	-0.1523103378
ENSGEXAMPLE034-rs000034	-0.039832077	0.1406037135	-0.35949134	-0.13542532	0.1966260771	0.5148568796	-0.0639289839	0.119219905	-0.0171604403	0.2096176436	-0.4021952905	0.2503790521	0.1541072218	0.009534155
ENSGEXAMPLE035-rs000035	-0.508186989	-0.4989892863	-0.35214219	-0.3593833951	-0.3168991401	0.1911873149	-0.1081634039	0.206830964	0.1578167886	0.0821981658	-0.3749095261	0.1192512872	0.0014737029	-0.611511031
ENSGEXAMPLE036-rs000036	0.064799548	-0.1646488505	0.039637171	-0.0717375668	0.0665296161	-0.1234177119	-0.0836036186	0.202214981	0.2976861753	-0.3365007703	0.5105352829	-0.1250890048	0.1635156305	0.5018219389
ENSGEXAMPLE037-rs000037	0.112522152	-0.0323593415	0.732602919	0.1611742639	-0.032936208	-0.2407560355	0.0882185467	0.209346464	0.4480792433	-0.3945562423	-0.2461007017	-0.0354265783	-0.2282458128	0.2068334264
ENSGEXAMPLE038-rs000038	0.152566726	0.1577253327	0.019876014	-0.0953190389	-0.113830876	0.0429162449	0.101062744	0.065968094	-0.1840898471	-0.0958325708	-0.0379053817	0.0829184978	-0.2554471325	-0.2258335324
ENSGEXAMPLE039-rs000039	0.092430995	0.2800583935	0.011187515	-0.2936997047	0.2672381828	0.3017697886	-0.3380369446	-0.061580563	-0.0830045814	0.1612834539	0.0576582239	0.0034626902	0.3547047005	0.05551662
ENSGEXAMPLE040-rs000040	0.040606741	0.3626195104	0.137689722	0.176414061	0.0011314916	-0.0299103564	-0.0802365117	-0.944725403	-0.283557903	0.1849993857	-0.3267429827	-0.2266380399	-0.0420380278	0.2593958881
ENSGEXAMPLE041-rs000041	-0.419905187	-0.0985704762	0.129394234	0.1052416225	-0.1493436911	0.2772210712	0.3821332458	-0.008820848	-0.4977187227	-0.2834691158	-0.3547626308	-0.2740897044	0.0757229851	0.2314741519
ENSGEXAMPLE042-rs000042	0.059577722	-0.1126410021	0.240997543	-0.010602682	-0.2257804887	-0.0687567977	-0.0052094924	0.271947874	-0.3324330666	-0.4946966471	0.0067876592	-0.1141354993	-0.0822663751	0.097989166
ENSGEXAMPLE043-rs000043	0.228211614	0.1892152019	-0.173630982	0.1325044961	0.1862155793	-0.0482663915	-0.2726945856	-0.117179202	0.0750640189	0.2625062157	0.0709121847	0.1708386974	0.112830982	0.1216986736
ENSGEXAMPLE044-rs000044	0.113419264	0.2022500439	0.132221935	-0.283981179	-0.1957231656	0.0806319448	0.1783550995	-0.460217912	-0.4934718488	0.0581441038	-0.2943657075	-0.025428658	-0.3598989232	0.2124913915
ENSGEXAMPLE045-rs000045	0.018067624	0.1940158342	-0.205630244	-0.1617587847	0.0650077817	0.4831359101	0.2075575643	0.229381003	0.0309051933	0.1702095082	-0.2590835118	0.6265285049	0.1255530251	0.0257532102
ENSGEXAMPLE046-rs000046	0.075110362	0.1416398846	-0.167209144	-0.0348859884	0.2174602094	0.0908593283	-0.0739356711	-0.217182823	-0.5757783941	0.2123011865	0.119467217	-0.0010719818	0.3673990704	0.037304602
ENSGEXAMPLE047-rs000047	0.176559366	-0.1998443829	-0.167425832	0.3502960008	0.0769120803	0.0489633265	0.1236550644	-0.299859374	0.1369917109	-0.0030657463	0.2426650666	0.3727095644	-0.2496895164	0.1161709659
ENSGEXAMPLE048-rs000048	0.263181309	-0.1768242735	0.282217271	0.1686745133	0.1828896441	0.074240459	0.1350453383	-0.057654191	-0.1642253181	0.0905006107	0.1432685816	0.0076828885	0.0054259808	-0.4547242321
ENSGEXAMPLE049-rs000049	0.342797322	-0.1201137779	-0.366813756	-0.2802225178	0.1350312578	0.2979311504	0.0528797038	0.127289082	-0.0993388535	-0.0133358667	0.0635795895	-0.4390189696	0.5106352555	0.2672541116
ENSGEXAMPLE050-rs000050	-0.131677058	0.2258656762	-0.051276681	-0.0814986037	-0.252089625	0.1909167935	0.1492822626	0.166751024	0.1000527833	0.1487919773	-0.113705113	-0.277206662	0.0317410016	-0.0013512716
ENSGEXAMPLE051-rs000051	0.236801923	-0.1249218822	-0.25456378	0.1527298735	-0.0909301115	-0.0737889022	0.3277633683	0.051353206	-0.0453563341	0.162236641	0.065781525	-0.3935962929	0.0240432024	0.1364792672
ENSGEXAMPLE052-rs000052	-0.386101545	0.0706630013	-0.235115133	-0.4771315315	-0.0700972056	0.089539104	0.3506108037	-0.36292875	0.1332414975	-0.0262049832	0.2784551852	-0.1339882496	-0.431392119	-0.0571966761
ENSGEXAMPLE053-rs000053	0.47716791	-0.1746853491	-0.202826583	-0.0649326989	0.0431263454	-0.4016680296	0.3290649627	-0.583643818	0.2270412917	-0.2190289429	0.1670200852	-0.1158467022	0.0663169624	0.0090099929
ENSGEXAMPLE054-rs000054	0.165730782	0.0256836906	-0.376885674	0.093861551	0.3404559901	0.1405333086	0.0950142434	0.017507723	0.1937894858	0.1629305304	0.2448283498	-0.2079858898	0.1639961254	-0.0172954466
ENSGEXAMPLE055-rs000055	-0.515703931	0.0523812774	0.341424679	0.1226402591	-0.0632235828	-0.3399512525	-0.0202833503	-0.114209215	-0.0818116901	0.4896990473	0.0128618557	-0.201021939	-0.062592967	-0.1244712045
ENSGEXAMPLE056-rs000056	-0.395191356	-0.2204588787	-0.04872072	0.0177617589	-0.1915609781	-0.3124328512	0.1068098443	-0.17412135	-0.0656895174	0.0598465746	0.3229539453	0.1526433404	-0.3244742562	0.1010518207
ENSGEXAMPLE057-rs000057	0.236184111	-0.0771580473	-0.508538028	0.1531033282	-0.233172148	0.3752457007	-0.3184448548	0.459865653	-0.0009297535	0.0557146323	0.0374063059	0.010627491	0.0428160836	0.2741675768
ENSGEXAMPLE058-rs000058	0.011816379	-0.0555085218	-0.097623937	0.0606869099	0.0685143681	-0.4914185929	-0.0427589416	0.47276826	-0.3169434453	0.2087941129	0.1052371396	0.1432721625	0.1017373341	-0.2598513962
ENSGEXAMPLE059-rs000059	-0.326325809	-0.1652974473	0.060833504	0.0234015159	0.2412727004	-0.0560618863	-0.1057731063	0.096911972	-0.1810404427	0.127927628	-0.0912857325	-0.0999331555	0.0879282163	0.0558774283
ENSGEXAMPLE060-rs000060	-0.020154079	0.0950369948	-0.092882479	-0.2547459533	-0.4360489493	-0.2001397805	-0.0400314643	0.183662494	0.0672118299	-0.4822689707	0.1615791883	-0.0267927714	0.3157461248	-0.0684488471
ENSGEXAMPLE061-rs000061	-0.039526043	-0.340261963	0.043041786	-0.0151238478	-0.0821404155	-0.3211562215	-0.3561266717	0.027005943	0.0495764236	0.2982461347	-0.0848555001	-0.109920233	0.1246751526	-0.3486361402
ENSGEXAMPLE062-rs000062	-0.213174657	-0.1454597217	0.360844842	-0.003090884	-0.2060289546	0.6535178644	-0.1051647099	0.080499566	0.8974778122	-0.0184753813	-0.1709567159	-0.0310433625	0.2583841557	-0.0262025571
ENSGEXAMPLE063-rs000063	0.190020488	0.4282178933	-0.2509668	-0.2792482511	-0.0164438577	0.5617013319	-0.4137372574	0.081462037	-0.1706508419	0.0052753395	-0.0921787218	-0.0507869809	0.1561358377	0.215384098
ENSGEXAMPLE064-rs000064	0.528097265	-0.0625849177	0.115533828	0.2369441746	-0.2054901284	-0.0170676654	-0.1828765508	0.37697457	-0.1645173515	-0.5822814342	0.0929555999	-0.1547620456	0.0114095886	0.4907673821
ENSGEXAMPLE065-rs000065	0.413641353	0.0419205946	0.392328373	-0.150946606	-0.2528311631	0.1301281231	-0.0871953542	0.398587405	0.1114106619	-0.4197463034	-0.0784557716	-0.2477049522	0.0676671491	-0.2872207188
ENSGEXAMPLE066-rs000066	0.116642321	-0.1405346212	0.25630709	0.0109973276	-0.271421658	-0.5984612215	0.4094591829	-0.295777774	-0.2674056465	-0.25641499	-0.039037118	-0.1542764565	0.1553136534	0.0767250325
ENSGEXAMPLE067-rs000067	0.025548197	-0.0741818226	-0.243466944	-0.0289494328	0.0355639189	0.0680922157	-0.12378251	0.076084099	0.0990237188	0.2088381233	-0.119934332	0.1525347079	0.1638852494	-0.0697708307
ENSGEXAMPLE068-rs000068	0.133662985	0.3336633417	-0.199056378	0.1870523335	-0.1301748917	-0.034137847	0.1922779172	0.189366243	0.15487369	-0.0275609267	-0.0221525248	0.0312892361	0.0230452354	-0.0674876512
ENSGEXAMPLE069-rs000069	0.023719173	0.0453964727	0.261785222	-0.2075901804	-0.1653505617	-0.3340670514	0.2184775669	0.03970335	0.0376795683	0.1738602535	-0.6202683944	-0.1915836126	-0.2323696912	-0.0581892692
ENSGEXAMPLE070-rs000070	-0.070185227	-0.0484356792	-0.098421535	0.175639198	-0.0881579754	0.0826589224	-0.0775033991	-0.24748671	-0.3709300789	0.4601972298	-0.2007723232	0.0705538191	-0.111410455	-0.2530926724
ENSGEXAMPLE071-rs000071	-0.170285354	-0.0816572476	0.087836197	-0.327337155	0.2852831292	0.3687891849	-0.1320770301	-0.574835866	0.0116785462	-0.0302203447	-0.2182479907	0.1850811353	-0.1071934745	0.0777409498
ENSGEXAMPLE072-rs000072	-0.006676998	-0.0719088264	-0.220541353	0.0325051359	-0.2489968471	-0.1118063371	-0.474773335	0.130651494	-0.3744935152	0.2161517637	-0.1395637076	0.1104115514	-0.2604108672	-0.5154053406
ENSGEXAMPLE073-rs000073	0.254789377	0.2223516103	0.186015056	0.2718958418	-0.2623725625	-0.3625035524	0.0380047994	0.186041245	-0.3275408218	-0.3060284283	0.0196715193	-0.1769186314	-0.2343426717	0.0504068173
ENSGEXAMPLE074-rs000074	-0.076445072	0.0528216657	-0.143982344	0.2363952555	0.0952619619	0.0787078468	-0.0183408485	-0.48908326	-0.0033537915	0.0346674077	-0.0762938799	-0.0643391588	0.4182371064	-0.2485694136
ENSGEXAMPLE075-rs000075	0.367422802	0.1005754245	-0.270545635	0.1957274802	-0.2998505692	-0.163516626	0.1502196666	-0.518904079	-0.1322008787	0.1047709448	0.012920875	0.103464406	0.0386067731	0.1760936209
ENSGEXAMPLE076-rs000076	-0.361004417	0.0936461546	-0.337383855	-0.184522245	0.030592065	-0.1230586676	-0.270492858	0.268022747	-0.2620309581	-0.0684129924	0.0878802578	0.0331501726	-0.0122114374	-0.1232049601
ENSGEXAMPLE077-rs000077	0.270727733	0.1705959781	-0.04890872	-0.3513670886	0.426491215	0.1104006577	-0.2029853164	0.109849836	-0.0710514077	-0.0955494367	0.2624264031	-0.152957257	-0.4281267979	-0.0229411643
ENSGEXAMPLE078-rs000078	-0.016700685	-0.1936816386	0.208757857	0.1701927395	-0.3517770631	0.1319406946	-0.16812174	0.085015548	-0.0485169718	0.1665070047	-0.3495611931	-0.0641922543	0.208820193	-0.1894689658
ENSGEXAMPLE079-rs000079	-0.013893484	-0.280216541	-0.240280713	-0.0917125045	0.1994223843	0.0593698411	0.1108477477	0.041737703	0.0962021729	-0.0962119116	0.55019966	0.3499173593	-0.2019971818	0.5042972217
ENSGEXAMPLE080-rs000080	-0.171207989	-0.0275534609	-0.32820556	-0.1623222396	-0.0902205223	-0.1328008585	0.1216164863	0.117374716	-0.1583006881	-0.3887427048	-0.5037330728	-0.3975647452	-0.4123966251	-0.0269103005
ENSGEXAMPLE081-rs000081	-0.020063692	-0.5790378638	0.077472815	0.0654477455	-0.1076196648	0.1454599886	0.0155909481	-0.158967999	0.0806059195	0.478353544	0.0005609447	0.2361725533	-0.2575101875	-0.10933776
ENSGEXAMPLE082-rs000082	0.250820625	-0.0774525083	-0.006902953	-0.0703685205	-0.1493255647	0.2001158758	-0.3019592166	0.151963542	0.1072158514	-0.0049523947	-0.0418631713	0.15574735	-0.2064376516	0.430721861
ENSGEXAMPLE083-rs000083	-0.073444805	-0.1514725264	0.192277751	-0.3306349943	0.1639523731	-0.1945795032	0.0366982654	-0.069725842	-0.3882125978	-0.0910657156	-0.2942788592	-0.1287526455	0.1275119355	0.2131567569
ENSGEXAMPLE084-rs000084	0.171028265	-0.0802009169	-0.138746764	0.3688624398	-0.3070909249	-0.30468502	0.2224738725	0.223990413	0.1642201765	-0.1269837802	-0.0376994143	-0.1753411027	0.2094362003	-0.0513013531
ENSGEXAMPLE085-rs000085	-0.157001266	0.261450928	-0.351881817	0.1723143726	-0.2278927289	-0.1534662327	0.15534433	-0.284618497	-0.2877431131	-0.2030695014	-0.3565867595	-0.2285855643	-0.0547081616	-0.2411999837
ENSGEXAMPLE086-rs000086	-0.073661544	-0.2504224282	-0.068647824	-0.0411258427	-0.324680106	0.0563120666	-0.1560008973	-0.104344475	0.1158637539	0.0057272415	0.2059926298	0.0546014985	-0.2246192953	-0.2263482662
ENSGEXAMPLE087-rs000087	0.069940291	-0.0082530208	0.084502312	-0.2471003709	0.0386824895	0.1623904459	-0.2385510307	0.331989847	-0.2199492218	0.1706651607	-0.2750994159	0.3928203871	0.2169865806	-0.2339079563
ENSGEXAMPLE088-rs000088	-0.195048673	-0.0290995687	-0.288954919	-0.0129180573	-0.5162718751	0.2812836307	-0.3562904937	0.091769015	-0.0452718872	-0.076506991	0.5167800038	-0.0003225278	-0.0640829823	-0.0470507252
ENSGEXAMPLE089-rs000089	-0.130806297	-0.0576029484	0.091099344	0.0787555575	0.184254104	0.0402847624	-0.2827675385	0.372747874	0.1715114333	-0.1439531675	-0.0626084906	-0.107140016	0.186222573	0.0029511152
ENSGEXAMPLE090-rs000090	0.011280332	-0.0382502779	-0.191867888	-0.2267366881	-0.468843061	0.0404424198	0.0211136752	0.138998109	-0.1427984885	-0.1893493899	0.0602733885	0.200841387	0.1859928465	-0.0287667739
ENSGEXAMPLE091-rs000091	0.07988366	-0.2662065793	0.015398186	0.0673703958	0.1635791902	0.0327216878	-0.1501205281	0.142154028	-0.325340128	-0.1913331563	0.120974591	-0.0333039222	-0.2842806868	0.4049538616
ENSGEXAMPLE092-rs000092	0.53069831	0.1543299509	-0.175930101	0.0076409718	0.0012977702	0.4097911173	-0.0157276922	0.292608153	0.0880523058	-0.5682876002	-0.0277397866	0.1913021351	0.2060812127	-0.1688447913
ENSGEXAMPLE093-rs000093	-0.111099463	-0.2104632962	0.071320032	0.3622259931	-0.0342602101	-0.0035141045	0.2228045162	0.041803167	0.103456515	0.0983402082	-0.2778512453	-0.2261122453	-0.0990316515	-0.037984707
ENSGEXAMPLE094-rs000094	-0.258236509	-0.7015673978	-0.03718907	-0.0679766594	-0.0157643194	-0.276642862	0.1802764431	-0.03214171	-0.0253424794	-0.1149666156	-0.2363382024	0.2223154119	-0.3289080461	-0.1379840271
ENSGEXAMPLE095-rs000095	0.170222506	-0.1350391939	-0.144134373	-0.0295611091	0.1916782999	-0.3120291172	0.0650675798	0.039551991	0.5726015557	0.0659391679	0.1818777326	-0.0428544	-0.0538911302	0.2082898796
ENSGEXAMPLE096-rs000096	-0.149454599	0.0455027387	0.210499016	0.102347396	0.1094740358	0.0790693937	-0.0693937613	0.183462427	0.048506455	-0.0990838574	-0.1846781744	-0.2815520968	-0.1259127018	0.0001495432
ENSGEXAMPLE097-rs000097	0.186057452	-0.0545494355	-0.203404778	0.2157392353	0.0566067277	-0.2709112866	0.4941607326	-0.228765072	-0.0573453042	-0.0706342572	0.0019050037	-0.3228202675	0.06808502	-0.0477119624
ENSGEXAMPLE098-rs000098	0.167287446	-0.1319116191	-0.141616055	0.2816348676	-0.0411114777	0.2775875662	0.2145719779	0.004073959	0.1532625199	-0.4243933464	-0.1680035167	-0.184490138	0.1817845881	-0.1076541268
ENSGEXAMPLE099-rs000099	0.008675645	0.2399083373	0.040184114	-0.0705423681	0.3846015516	-0.3848990493	0.2113035512	-0.198608338	0.0842894589	0.211013942	-0.0423112874	0.0226755809	0.1737803026	-0.0285060875
ENSGEXAMPLE100-rs000100	0.130599831	0.0497130745	0.026057966	-0.141659864	0.3902084924	0.2267848952	0.1054262085	0.573005652	0.412637643	-0.3671099389	-0.3250248011	0.0757161248	0.0134804992	0.191074734
ENSGEXAMPLE101-rs000101	0.387688255	0.000134111	-0.182088223	0.1203053508	-0.2218124392	-0.1496638799	-0.0184868162	-0.215387933	0.3750724876	0.1629331184	-0.184349989	0.2080086837	0.1087541864	-0.1433032249
ENSGEXAMPLE102-rs000102	-0.3428641	-0.2147450961	0.021466955	-0.1822519825	-0.1731110287	-0.0948562303	0.1768861527	-0.041558906	0.1510215883	-0.0712037983	0.0412244267	-0.0572940227	0.1854870467	0.4950662847
ENSGEXAMPLE103-rs000103	-0.05279282	-0.1112211647	-0.066252358	0.3131425894	-0.0100569587	-0.0264333346	0.4567459798	0.271626714	0.4108663886	0.0556132187	0.2104396499	-0.4488271699	0.0566615126	-0.2820269336
ENSGEXAMPLE104-rs000104	-0.492522277	-0.0644062777	0.047597843	-0.1845305924	0.1131232767	0.1536606202	0.2233166291	0.206396233	-0.1614231998	-0.1013888145	-0.0159475912	0.0447204511	0.0311543796	-0.1221374167
ENSGEXAMPLE105-rs000105	0.25418294	-0.0386232257	0.285543768	-0.073883402	-0.3571899283	0.2608903882	-0.256402882	-0.292711995	0.0519575395	0.0593418355	-0.3463773603	-0.0951205364	0.0318007795	0.1394161978
ENSGEXAMPLE106-rs000106	-0.151822691	-0.2760033243	-0.111391348	-0.2320347656	-0.3083254101	-0.1098498507	0.1120574959	0.064919408	-0.218227369	-0.0147378543	-0.2223137268	-0.2196807764	-0.3727567606	0.0743584408
ENSGEXAMPLE107-rs000107	-0.06514825	0.4660479324	-0.03064346	0.1110562113	-0.0205419386	-0.0509949183	-0.1189643463	0.101935298	0.0047208486	-0.1015658345	-0.0232653986	-0.0994109981	0.0966039628	0.1161950202
ENSGEXAMPLE108-rs000108	-0.000546528	0.1466017402	-0.203422043	0.4413935748	0.2087049416	-0.238489535	0.2037612575	0.118470008	0.0026223097	-0.2896353673	0.0440646573	0.0987041758	-0.0300090733	0.10870468
ENSGEXAMPLE109-rs000109	0.05136621	0.0969981547	0.175832127	-0.067549463	-0.0965218177	-0.0997506985	-0.1802944222	0.177847713	0.0526163772	0.1737725752	-0.210670481	0.8079749982	-0.3018978098	-0.5223775275
ENSGEXAMPLE110-rs000110	-0.22965203	-0.2014996388	0.155138969	0.1934122769	0.5981655287	0.0850184641	-0.0796285732	-0.490120623	0.0155407884	-0.2826049397	0.10420612	-0.171579337	-0.510138126	-0.1046001187
ENSGEXAMPLE111-rs000111	-0.169665854	-0.1271083928	0.135324228	0.4005048058	0.0460771787	-0.3272151875	0.1425557722	0.299885643	0.1159244283	-0.2950973651	0.4580908198	0.097405012	-0.2686761764	-0.0640582827
ENSGEXAMPLE112-rs000112	-0.206847484	-0.1650433892	-0.039610367	-0.1425191193	0.1248723104	0.4011724845	-0.1276809128	-0.136929537	0.126406781	0.066612226	0.4019410049	-0.2949687281	-0.1836701121	0.1713152089
ENSGEXAMPLE113-rs000113	0.030276608	-0.0704531739	0.241249847	-0.0103128527	-0.082449924	0.3628241275	-0.2656521779	-0.173215137	-0.3132343387	0.1574125676	-0.0518066043	-0.2088580384	0.091471307	0.1747400338
ENSGEXAMPLE114-rs000114	-0.123973141	0.169557431	-0.011451074	-0.0989176468	0.2040484892	0.0950180594	-0.383407863	-0.033173392	-0.1048793779	-0.3268861636	0.2016406595	0.3233222022	-0.1550555549	0.0665486129
ENSGEXAMPLE115-rs000115	0.172538158	0.1036864844	0.016960711	-0.4259140881	-0.2279951318	0.3591945634	-0.3432235549	-0.011063426	0.1053912523	0.0921594502	0.12148326	0.357324565	-0.2619927921	-0.2491479639
ENSGEXAMPLE116-rs000116	0.002820206	0.2575921772	0.1354003	-0.1452155827	-0.0006311324	0.3771248784	0.3103515059	0.369635741	0.3262643414	0.3910057254	-0.1976960383	0.2240564984	0.241428447	0.1089069398
